configuration,claim_id,claim,label,max_entailment,max_contradiction
Whole + Gemini,C01,Patient is a 43-year-old female named Abena Bonsu.,SUPPORTED,0.9995793700218201,0.8889174461364746
Whole + Gemini,C02,"Presented to the emergency department with progressive breathlessness for two weeks, worse on exertion.",SUPPORTED,0.9995354413986206,0.9956617951393127
Whole + Gemini,C03,Past medical history includes hypertension.,SUPPORTED,0.9997853636741638,0.06939546018838882
Whole + Gemini,C04,Past medical history includes asthma.,SUPPORTED,0.9997832179069519,0.002429270651191473
Whole + Gemini,C05,Has a nut allergy.,SUPPORTED,0.9974048733711243,0.003333356464281678
Whole + Gemini,C06,No regular medications were reported on presentation.,CONTRADICTED,0.9158146977424622,0.9995662569999695
Whole + Gemini,C07,"On arrival, SpO2 was 89% on room air.",CONTRADICTED,0.5808546543121338,0.9996442794799805
Whole + Gemini,C08,"On arrival, blood pressure was 92/64 mmHg.",CONTRADICTED,0.00835664663463831,0.9996459484100342
Whole + Gemini,C09,"On arrival, heart rate was 112 bpm.",CONTRADICTED,0.03284607455134392,0.9995825886726379
Whole + Gemini,C10,"On arrival, respiratory rate was 28 breaths per minute.",CONTRADICTED,0.0327770970761776,0.9992924928665161
Whole + Gemini,C11,"On arrival, temperature was 36.8°C.",CONTRADICTED,0.5831669569015503,0.9991530179977417
Whole + Gemini,C12,Emergency department diagnosis was chronic thromboembolic pulmonary hypertension (CTEPH).,SUPPORTED,0.9996956586837769,0.9863622784614563
Whole + Gemini,C13,"Received low-flow oxygen via nasal cannula, which increased SpO2 to 92%.",SUPPORTED,0.999714195728302,0.9655832648277283
Whole + Gemini,C14,Chest X-ray showed bilateral pulmonary congestion.,SUPPORTED,0.999650239944458,0.9967830181121826
Whole + Gemini,C15,Arterial blood gas showed PaO2 of 8.5 kPa and compensated respiratory alkalosis.,SUPPORTED,0.9997527003288269,0.9992594122886658
Whole + Gemini,C16,Initial NT-proBNP level was 3200 pg/mL.,SUPPORTED,0.9995618462562561,0.9988101720809937
Whole + Gemini,C17,D-dimer was elevated.,SUPPORTED,0.9996100068092346,0.9965754151344299
Whole + Gemini,C18,Transferred to respiratory high-dependency unit under Dr Elizabeth K. Singh.,SUPPORTED,0.9996181726455688,0.9977566599845886
Whole + Gemini,C19,Started therapeutic enoxaparin 1.5 mg/kg daily.,SUPPORTED,0.9942347407341003,0.9911190867424011
Whole + Gemini,C20,CT pulmonary angiogram confirmed chronic thromboembolic disease.,SUPPORTED,0.9994612336158752,0.5057284832000732
Whole + Gemini,C21,Transthoracic echocardiogram showed severe pulmonary hypertension with right-ventricular strain.,SUPPORTED,0.9997345805168152,0.8714887499809265
Whole + Gemini,C22,NT-proBNP rose to 4500 pg/mL.,SUPPORTED,0.9993475079536438,0.9118056297302246
Whole + Gemini,C23,"Anticoagulation was switched to apixaban 10 mg twice daily for seven days, then 5 mg twice daily.",CONTRADICTED,0.7888188362121582,0.9992050528526306
Whole + Gemini,C24,"Anticoagulation was later switched to rivaroxaban 15 mg twice daily for 21 days, then 20 mg once daily for long-term therapy.",SUPPORTED,0.9989829659461975,0.9980913996696472
Whole + Gemini,C25,Sildenafil 20 mg three times daily was initiated for pulmonary hypertension.,SUPPORTED,0.9996901750564575,0.9993570446968079
Whole + Gemini,C26,Furosemide 40 mg once daily was started for mild peripheral edema and right-heart strain.,SUPPORTED,0.9997214674949646,0.9993496537208557
Whole + Gemini,C27,"Daily physiotherapy included diaphragmatic breathing, energy-conservation education, and progressive mobilisation with a rollator.",SUPPORTED,0.9997671246528625,0.9434982538223267
Whole + Gemini,C28,Oxygen requirement remained low-flow (2 L nasal cannula) with SpO2 improving to at least 94% on oxygen.,SUPPORTED,0.9996156692504883,0.9989774227142334
Whole + Gemini,C29,SpO2 eventually reached 95% on room air.,SUPPORTED,0.9996191263198853,0.9978528022766113
Whole + Gemini,C30,Mild anemia was identified with hemoglobin 110 g/L.,SUPPORTED,0.9998142123222351,0.975077211856842
Whole + Gemini,C31,Ferrous sulfate 200 mg twice daily was started.,SUPPORTED,0.9997572302818298,0.9556849598884583
Whole + Gemini,C32,"Ventilation-perfusion scan demonstrated mismatched perfusion defects, confirming CTEPH.",SUPPORTED,0.999790608882904,0.2422841340303421
Whole + Gemini,C33,Heart rate on discharge day was 82-88 bpm.,CONTRADICTED,0.025316884741187096,0.99953293800354
Whole + Gemini,C34,Blood pressure on discharge day was 110-118/70-76 mmHg.,CONTRADICTED,0.9059182405471802,0.9989387392997742
Whole + Gemini,C35,Respiratory rate on discharge day was 16-18 breaths per minute.,CONTRADICTED,0.08481714874505997,0.9993895292282104
Whole + Gemini,C36,SpO2 on discharge day was 94-95% on room air.,CONTRADICTED,0.8823168277740479,0.9995675683021545
Whole + Gemini,C37,Jugular venous pressure was no longer raised.,SUPPORTED,0.9885622262954712,0.8847410678863525
Whole + Gemini,C38,Lung examination was clear.,CONTRADICTED,0.001030679210089147,0.9997015595436096
Whole + Gemini,C39,No peripheral edema was present.,CONTRADICTED,0.4366568922996521,0.9996963739395142
Whole + Gemini,C40,Discharge medications included sildenafil 20 mg three times daily.,SUPPORTED,0.9993124008178711,0.9912678599357605
Whole + Gemini,C41,Discharge medications included rivaroxaban 20 mg once daily.,SUPPORTED,0.9996943473815918,0.9853425025939941
Whole + Gemini,C42,Discharge medications included furosemide 20 mg once daily.,SUPPORTED,0.9984412789344788,0.9935063123703003
Whole + Gemini,C43,Discharge medications included ferrous sulfate 200 mg twice daily.,SUPPORTED,0.999193012714386,0.9984452128410339
Whole + Gemini,C44,Referral was arranged to a tertiary pulmonary hypertension centre for assessment of pulmonary endarterectomy.,SUPPORTED,0.999816358089447,0.6878910064697266
Whole + Gemini,C45,Outpatient follow-up was scheduled at the tertiary centre in four weeks with repeat hemoglobin and NT-proBNP planned.,SUPPORTED,0.9997615218162537,0.08859911561012268
