configuration,claim_id,claim,label,max_entailment,max_contradiction,revised_label,support_label
Whole + Gemini,C01,Patient is a 43-year-old female named Abena Bonsu.,SUPPORTED,0.9995793700218201,0.8889174461364746,SUPPORTED,SUPPORTED
Whole + Gemini,C02,"Presented to the emergency department with progressive breathlessness for two weeks, worse on exertion.",SUPPORTED,0.9995354413986206,0.9956617951393127,SUPPORTED,SUPPORTED
Whole + Gemini,C03,Past medical history includes hypertension.,SUPPORTED,0.9997853636741638,0.06939546018838882,SUPPORTED,SUPPORTED
Whole + Gemini,C04,Past medical history includes asthma.,SUPPORTED,0.9997832179069519,0.002429270651191473,SUPPORTED,SUPPORTED
Whole + Gemini,C05,Has a nut allergy.,SUPPORTED,0.9974048733711243,0.003333356464281678,SUPPORTED,SUPPORTED
Whole + Gemini,C06,No regular medications were reported on presentation.,CONTRADICTED,0.9158146977424622,0.9995662569999695,SUPPORTED,SUPPORTED
Whole + Gemini,C07,"On arrival, SpO2 was 89% on room air.",CONTRADICTED,0.5808546543121338,0.9996442794799805,CONTRADICTED,UNSUPPORTED
Whole + Gemini,C08,"On arrival, blood pressure was 92/64 mmHg.",CONTRADICTED,0.00835664663463831,0.9996459484100342,CONTRADICTED,UNSUPPORTED
Whole + Gemini,C09,"On arrival, heart rate was 112 bpm.",CONTRADICTED,0.03284607455134392,0.9995825886726379,CONTRADICTED,UNSUPPORTED
Whole + Gemini,C10,"On arrival, respiratory rate was 28 breaths per minute.",CONTRADICTED,0.0327770970761776,0.9992924928665161,CONTRADICTED,UNSUPPORTED
Whole + Gemini,C11,"On arrival, temperature was 36.8°C.",CONTRADICTED,0.5831669569015503,0.9991530179977417,CONTRADICTED,UNSUPPORTED
Whole + Gemini,C12,Emergency department diagnosis was chronic thromboembolic pulmonary hypertension (CTEPH).,SUPPORTED,0.9996956586837769,0.9863622784614563,SUPPORTED,SUPPORTED
Whole + Gemini,C13,"Received low-flow oxygen via nasal cannula, which increased SpO2 to 92%.",SUPPORTED,0.999714195728302,0.9655832648277283,SUPPORTED,SUPPORTED
Whole + Gemini,C14,Chest X-ray showed bilateral pulmonary congestion.,SUPPORTED,0.999650239944458,0.9967830181121826,SUPPORTED,SUPPORTED
Whole + Gemini,C15,Arterial blood gas showed PaO2 of 8.5 kPa and compensated respiratory alkalosis.,SUPPORTED,0.9997527003288269,0.9992594122886658,SUPPORTED,SUPPORTED
Whole + Gemini,C16,Initial NT-proBNP level was 3200 pg/mL.,SUPPORTED,0.9995618462562561,0.9988101720809937,SUPPORTED,SUPPORTED
Whole + Gemini,C17,D-dimer was elevated.,SUPPORTED,0.9996100068092346,0.9965754151344299,SUPPORTED,SUPPORTED
Whole + Gemini,C18,Transferred to respiratory high-dependency unit under Dr Elizabeth K. Singh.,SUPPORTED,0.9996181726455688,0.9977566599845886,SUPPORTED,SUPPORTED
Whole + Gemini,C19,Started therapeutic enoxaparin 1.5 mg/kg daily.,SUPPORTED,0.9942347407341003,0.9911190867424011,SUPPORTED,SUPPORTED
Whole + Gemini,C20,CT pulmonary angiogram confirmed chronic thromboembolic disease.,SUPPORTED,0.9994612336158752,0.5057284832000732,SUPPORTED,SUPPORTED
Whole + Gemini,C21,Transthoracic echocardiogram showed severe pulmonary hypertension with right-ventricular strain.,SUPPORTED,0.9997345805168152,0.8714887499809265,SUPPORTED,SUPPORTED
Whole + Gemini,C22,NT-proBNP rose to 4500 pg/mL.,SUPPORTED,0.9993475079536438,0.9118056297302246,SUPPORTED,SUPPORTED
Whole + Gemini,C23,"Anticoagulation was switched to apixaban 10 mg twice daily for seven days, then 5 mg twice daily.",CONTRADICTED,0.7888188362121582,0.9992050528526306,CONTRADICTED,UNSUPPORTED
Whole + Gemini,C24,"Anticoagulation was later switched to rivaroxaban 15 mg twice daily for 21 days, then 20 mg once daily for long-term therapy.",SUPPORTED,0.9989829659461975,0.9980913996696472,SUPPORTED,SUPPORTED
Whole + Gemini,C25,Sildenafil 20 mg three times daily was initiated for pulmonary hypertension.,SUPPORTED,0.9996901750564575,0.9993570446968079,SUPPORTED,SUPPORTED
Whole + Gemini,C26,Furosemide 40 mg once daily was started for mild peripheral edema and right-heart strain.,SUPPORTED,0.9997214674949646,0.9993496537208557,SUPPORTED,SUPPORTED
Whole + Gemini,C27,"Daily physiotherapy included diaphragmatic breathing, energy-conservation education, and progressive mobilisation with a rollator.",SUPPORTED,0.9997671246528625,0.9434982538223267,SUPPORTED,SUPPORTED
Whole + Gemini,C28,Oxygen requirement remained low-flow (2 L nasal cannula) with SpO2 improving to at least 94% on oxygen.,SUPPORTED,0.9996156692504883,0.9989774227142334,SUPPORTED,SUPPORTED
Whole + Gemini,C29,SpO2 eventually reached 95% on room air.,SUPPORTED,0.9996191263198853,0.9978528022766113,SUPPORTED,SUPPORTED
Whole + Gemini,C30,Mild anemia was identified with hemoglobin 110 g/L.,SUPPORTED,0.9998142123222351,0.975077211856842,SUPPORTED,SUPPORTED
Whole + Gemini,C31,Ferrous sulfate 200 mg twice daily was started.,SUPPORTED,0.9997572302818298,0.9556849598884583,SUPPORTED,SUPPORTED
Whole + Gemini,C32,"Ventilation-perfusion scan demonstrated mismatched perfusion defects, confirming CTEPH.",SUPPORTED,0.999790608882904,0.2422841340303421,SUPPORTED,SUPPORTED
Whole + Gemini,C33,Heart rate on discharge day was 82-88 bpm.,CONTRADICTED,0.025316884741187096,0.99953293800354,CONTRADICTED,UNSUPPORTED
Whole + Gemini,C34,Blood pressure on discharge day was 110-118/70-76 mmHg.,CONTRADICTED,0.9059182405471802,0.9989387392997742,SUPPORTED,SUPPORTED
Whole + Gemini,C35,Respiratory rate on discharge day was 16-18 breaths per minute.,CONTRADICTED,0.08481714874505997,0.9993895292282104,CONTRADICTED,UNSUPPORTED
Whole + Gemini,C36,SpO2 on discharge day was 94-95% on room air.,CONTRADICTED,0.8823168277740479,0.9995675683021545,CONTRADICTED,UNSUPPORTED
Whole + Gemini,C37,Jugular venous pressure was no longer raised.,SUPPORTED,0.9885622262954712,0.8847410678863525,SUPPORTED,SUPPORTED
Whole + Gemini,C38,Lung examination was clear.,CONTRADICTED,0.001030679210089147,0.9997015595436096,CONTRADICTED,UNSUPPORTED
Whole + Gemini,C39,No peripheral edema was present.,CONTRADICTED,0.4366568922996521,0.9996963739395142,CONTRADICTED,UNSUPPORTED
Whole + Gemini,C40,Discharge medications included sildenafil 20 mg three times daily.,SUPPORTED,0.9993124008178711,0.9912678599357605,SUPPORTED,SUPPORTED
Whole + Gemini,C41,Discharge medications included rivaroxaban 20 mg once daily.,SUPPORTED,0.9996943473815918,0.9853425025939941,SUPPORTED,SUPPORTED
Whole + Gemini,C42,Discharge medications included furosemide 20 mg once daily.,SUPPORTED,0.9984412789344788,0.9935063123703003,SUPPORTED,SUPPORTED
Whole + Gemini,C43,Discharge medications included ferrous sulfate 200 mg twice daily.,SUPPORTED,0.999193012714386,0.9984452128410339,SUPPORTED,SUPPORTED
Whole + Gemini,C44,Referral was arranged to a tertiary pulmonary hypertension centre for assessment of pulmonary endarterectomy.,SUPPORTED,0.999816358089447,0.6878910064697266,SUPPORTED,SUPPORTED
Whole + Gemini,C45,Outpatient follow-up was scheduled at the tertiary centre in four weeks with repeat hemoglobin and NT-proBNP planned.,SUPPORTED,0.9997615218162537,0.08859911561012268,SUPPORTED,SUPPORTED
Whole + Gemini,C46,Home oxygen assessment and pulmonary-rehabilitation exercise program were provided.,SUPPORTED,0.9998101592063904,0.46355727314949036,SUPPORTED,SUPPORTED
Whole + Gemini,C47,Patient was instructed on use of a rollator and energy-conservation strategies.,SUPPORTED,0.9997075200080872,0.9857807755470276,SUPPORTED,SUPPORTED
Whole + BGE,C01,The patient has a history of hypertension.,SUPPORTED,0.9998204112052917,0.5996821522712708,SUPPORTED,SUPPORTED
Whole + BGE,C02,The patient has a history of asthma.,SUPPORTED,0.9996581077575684,0.02212110534310341,SUPPORTED,SUPPORTED
Whole + BGE,C03,The patient presented with progressive breathlessness limiting daily activity.,SUPPORTED,0.9998378753662109,0.9158703088760376,SUPPORTED,SUPPORTED
Whole + BGE,C04,Initial heart rate was 112 beats per minute.,CONTRADICTED,0.003273952519521117,0.9996122717857361,CONTRADICTED,UNSUPPORTED
Whole + BGE,C05,Initial blood pressure was 92/64 mmHg.,CONTRADICTED,0.006119727622717619,0.9995947480201721,CONTRADICTED,UNSUPPORTED
Whole + BGE,C06,Initial respiratory rate was 28 breaths per minute.,CONTRADICTED,0.04308999329805374,0.9993686079978943,CONTRADICTED,UNSUPPORTED
Whole + BGE,C07,Initial peripheral oxygen saturation was 89% on room air.,CONTRADICTED,0.9043145179748535,0.9996563196182251,SUPPORTED,SUPPORTED
Whole + BGE,C08,Peripheral oxygen saturation improved to 92% with low‑flow oxygen.,SUPPORTED,0.9996629953384399,0.9973172545433044,SUPPORTED,SUPPORTED
Whole + BGE,C09,Physical examination revealed raised jugular venous pressure.,SUPPORTED,0.9995899796485901,0.9978836178779602,SUPPORTED,SUPPORTED
Whole + BGE,C10,Physical examination revealed a loud second heart sound (P2).,SUPPORTED,0.9997631907463074,0.9990715980529785,SUPPORTED,SUPPORTED
Whole + BGE,C11,Physical examination revealed clear lungs.,CONTRADICTED,0.0014574741944670677,0.9997112154960632,CONTRADICTED,UNSUPPORTED
Whole + BGE,C12,Arterial blood gas showed mild hypoxia with PaO2 of 8.5 kPa and compensated respiratory alkalosis.,SUPPORTED,0.9997721314430237,0.9836046099662781,SUPPORTED,SUPPORTED
Whole + BGE,C13,NT‑proBNP was 3200 pg/mL.,SUPPORTED,0.9996622800827026,0.9977437257766724,SUPPORTED,SUPPORTED
Whole + BGE,C14,NT‑proBNP later increased to 4500 pg/mL.,SUPPORTED,0.9981188178062439,0.9923301339149475,SUPPORTED,SUPPORTED
Whole + BGE,C15,Chest X‑ray showed cardiomegaly.,CONTRADICTED,0.9919955730438232,0.9996021389961243,SUPPORTED,SUPPORTED
Whole + BGE,C16,Computed tomography pulmonary angiography confirmed chronic thromboembolic disease.,SUPPORTED,0.9995918869972229,0.8325031399726868,SUPPORTED,SUPPORTED
Whole + BGE,C17,Transthoracic echocardiogram demonstrated severe pulmonary hypertension with right‑ventricular strain.,SUPPORTED,0.9996402263641357,0.9610162377357483,SUPPORTED,SUPPORTED
Whole + BGE,C18,Enoxaparin 1.5 mg/kg daily was started.,SUPPORTED,0.9989175796508789,0.256369411945343,SUPPORTED,SUPPORTED
Whole + BGE,C19,Low‑flow oxygen was administered to maintain SpO₂ > 92%.,SUPPORTED,0.9997695088386536,0.14223423600196838,SUPPORTED,SUPPORTED
Whole + BGE,C20,Physiotherapy introduced diaphragmatic breathing exercises three times daily.,SUPPORTED,0.9998058676719666,0.027223026379942894,SUPPORTED,SUPPORTED
Whole + BGE,C21,Apixaban 10 mg twice daily was initiated in place of enoxaparin.,SUPPORTED,0.9984847903251648,0.9964697360992432,SUPPORTED,SUPPORTED
Whole + BGE,C22,Heart rate later stabilized at 96 beats per minute.,CONTRADICTED,0.3915300965309143,0.9988231062889099,CONTRADICTED,UNSUPPORTED
Whole + BGE,C23,Blood pressure later stabilized at 118/72 mmHg.,CONTRADICTED,0.9055061340332031,0.976772129535675,SUPPORTED,SUPPORTED
