person_id,workflow,claim_count,supported,partially_supported,unsupported,faithfulness_score
028998ee-babc-4096-9b28-001bc2f9a84e,direct,53,52,0,1,98.11320754716981
028998ee-babc-4096-9b28-001bc2f9a84e,hierarchical,30,30,0,0,100.0
028998ee-babc-4096-9b28-001bc2f9a84e,rag,43,41,1,1,96.51162790697676
028998ee-babc-4096-9b28-001bc2f9a84e,rag_verification,31,31,0,0,100.0
04df53ea-55c1-48d9-84a1-1f15c133b29b,direct,59,59,0,0,100.0
04df53ea-55c1-48d9-84a1-1f15c133b29b,hierarchical,39,39,0,0,100.0
04df53ea-55c1-48d9-84a1-1f15c133b29b,rag,44,44,0,0,100.0
04df53ea-55c1-48d9-84a1-1f15c133b29b,rag_verification,50,50,0,0,100.0
05192757-942f-460d-b4ff-004ec39cc5ee,direct,69,68,1,0,99.27536231884058
05192757-942f-460d-b4ff-004ec39cc5ee,hierarchical,80,79,1,0,99.375
05192757-942f-460d-b4ff-004ec39cc5ee,rag,55,55,0,0,100.0
05192757-942f-460d-b4ff-004ec39cc5ee,rag_verification,50,50,0,0,100.0
0c04d9fb-d8d0-4ee0-8fc9-0c3f7f148bdf,direct,86,86,0,0,100.0
0c04d9fb-d8d0-4ee0-8fc9-0c3f7f148bdf,hierarchical,81,81,0,0,100.0
0c04d9fb-d8d0-4ee0-8fc9-0c3f7f148bdf,rag,51,51,0,0,100.0
0c04d9fb-d8d0-4ee0-8fc9-0c3f7f148bdf,rag_verification,56,56,0,0,100.0
0f438665-d430-4adb-8acc-c3beed9e4942,direct,61,59,2,0,98.36065573770492
0f438665-d430-4adb-8acc-c3beed9e4942,hierarchical,85,83,2,0,98.82352941176471
0f438665-d430-4adb-8acc-c3beed9e4942,rag,75,75,0,0,100.0
0f438665-d430-4adb-8acc-c3beed9e4942,rag_verification,68,68,0,0,100.0
136c7916-4f9b-4e5c-bf01-77e9d2c681a2,direct,52,52,0,0,100.0
136c7916-4f9b-4e5c-bf01-77e9d2c681a2,hierarchical,55,55,0,0,100.0
136c7916-4f9b-4e5c-bf01-77e9d2c681a2,rag,45,43,0,2,95.55555555555556
136c7916-4f9b-4e5c-bf01-77e9d2c681a2,rag_verification,49,48,0,1,97.95918367346938
137b8481-4f1d-4b7f-babd-20f7117023ad,direct,49,48,1,0,98.9795918367347
137b8481-4f1d-4b7f-babd-20f7117023ad,hierarchical,39,39,0,0,100.0
137b8481-4f1d-4b7f-babd-20f7117023ad,rag,43,41,1,1,96.51162790697676
137b8481-4f1d-4b7f-babd-20f7117023ad,rag_verification,41,38,1,2,93.90243902439023
1705dd0f-011a-492c-b006-b27e03f2f4ed,direct,60,60,0,0,100.0
1705dd0f-011a-492c-b006-b27e03f2f4ed,hierarchical,44,44,0,0,100.0
1705dd0f-011a-492c-b006-b27e03f2f4ed,rag,72,72,0,0,100.0
1705dd0f-011a-492c-b006-b27e03f2f4ed,rag_verification,76,76,0,0,100.0
1dbe23dc-0d1e-431b-81eb-497282b46a14,direct,67,66,1,0,99.25373134328358
1dbe23dc-0d1e-431b-81eb-497282b46a14,hierarchical,97,97,0,0,100.0
1dbe23dc-0d1e-431b-81eb-497282b46a14,rag,81,81,0,0,100.0
1dbe23dc-0d1e-431b-81eb-497282b46a14,rag_verification,59,57,2,0,98.30508474576271
28570119-9cdc-4120-98c0-4edb76cf36a3,direct,53,53,0,0,100.0
